Size;Threads;Time
100000000;2; 1.959583
1000000000;2; 18.328158
10000000000;2; 25.938829
100000;4; 0.001362
1000000;4; 0.009350
10000000;4; 0.096467
100000000;4; 0.939080
1000000000;4; 9.231924
10000000000;4; 13.027714
100000;8; 0.000938
1000000;8; 0.005996
10000000;8; 0.064074
100000000;8; 0.565120
1000000000;8; 5.092559
10000000000;8; 7.060128
100000;16; 0.001692
1000000;16; 0.006190
10000000;16; 0.059077
100000000;16; 0.568383
1000000000;16; 5.050306
10000000000;16; 7.265587
100000;32; 0.001954
1000000;32; 0.008425
10000000;32; 0.057716
100000000;32; 0.583296
1000000000;32; 5.320522
10000000000;32; 6.978573
100000;2; 0.001955
1000000;2; 0.018997
10000000;2; 0.191772
100000000;2; 1.842937
1000000000;2; 18.309967
10000000000;2; 25.994017
100000;4; 0.001218
1000000;4; 0.009822
10000000;4; 0.095308
100000000;4; 0.935091
1000000000;4; 9.232036
10000000000;4; 13.049056
100000;8; 0.001682
1000000;8; 0.004948
10000000;8; 0.073649
100000000;8; 0.538426
1000000000;8; 4.948862
10000000000;8; 7.183664
100000;16; 0.001379
1000000;16; 0.005932
10000000;16; 0.056943
100000000;16; 0.562308
1000000000;16; 4.823222
10000000000;16; 7.086894
100000;32; 0.001906
1000000;32; 0.007210
10000000;32; 0.059330
100000000;32; 0.535050
1000000000;32; 4.822047
10000000000;32; 6.915349
100000;2; 0.002198
1000000;2; 0.019365
10000000;2; 0.184985
100000000;2; 1.834043
1000000000;2; 18.116046
10000000000;2; 25.647075
100000;4; 0.001236
1000000;4; 0.010564
10000000;4; 0.094880
100000000;4; 0.921011
1000000000;4; 9.286259
10000000000;4; 12.843536
100000;8; 0.001738
1000000;8; 0.005579
10000000;8; 0.061111
100000000;8; 0.544020
1000000000;8; 5.151913
10000000000;8; 7.159797
100000;16; 0.001478
1000000;16; 0.007497
10000000;16; 0.063955
100000000;16; 0.541904
1000000000;16; 5.080352
10000000000;16; 7.123566
100000;32; 0.002789
1000000;32; 0.007716
10000000;32; 0.066198
100000000;32; 0.579085
1000000000;32; 5.089166
10000000000;32; 7.140145

